Date,Value
195109,24.21
195110,19.37
195111,17.49
195112,13.09
195201,11.34
195202,11.04
195203,14.49
195204,16.24
195205,18.57
195206,24.98
195207,26.8
195208,27.67
195209,25.79
195210,21.67
195211,16.79
195212,14.29
195301,10.11
195302,11.24
195303,11.71
195304,16.31
195305,18.45
195306,22.75
195307,26.12
195308,25.19
195309,24.45
195310,21.37
195311,16.45
195312,14.78
195401,10.71
195402,11.38
195403,14.29
195404,14.78
195405,17.29
195406,23.68
195407,24.07
195408,24.39
195409,24.2
195410,19.29
195411,16.77
195412,14.32
195501,14.75
195502,14.84
195503,13.91
195504,14.59
195505,19.55
195506,22.77
195507,26.15
195508,25.75
195509,23.54
195510,20.14
195511,17.14
195512,15.22
195601,13.47
195602,10.18
195603,12.29
195604,15.41
195605,18.17
195606,21.35
195607,24.87
195608,26.47
195609,24.89
195610,19.57
195611,15.99
195612,12.49
195701,11.29
195702,13.39
195703,13.29
195704,15.21
195705,17.47
195706,23.15
195707,24.72
195708,26.17
195709,23.39
195710,20.99
195711,16.87
195712,13.17
195801,11.61
195802,13.01
195803,13.49
195804,14.51
195805,19.29
195806,23.00
195807,25.12
195808,26.7
195809,23.85
195810,21.12
195811,17.09
195812,15.57
195901,12.09
195902,12.09
195903,14.71
195904,15.41
195905,18.47
195906,22.1
195907,25.1
195908,25.95
195909,24.65
195910,19.47
195911,16.47
195912,14.27
196001,12.31
196002,14.19
196003,14.49
196004,15.04
196005,19.37
196006,22.92
196007,24.9
196008,26.35
196009,23.09
196010,21.87
196011,18.47
196012,14.09
196101,11.89
196102,11.91
196103,12.91
196104,17.01
196105,19.67
196106,22.92
196107,25.2
196108,25.05
196109,24.19
196110,20.67
196111,18.17
196112,14.07
196201,13.09
196202,11.01
196203,13.81
196204,15.61
196205,19.27
196206,21.92
196207,26.00
196208,26.15
196209,24.61
196210,21.17
196211,16.57
196212,12.47
196301,12.11
196302,11.61
196303,12.41
196304,15.11
196305,17.29
196306,22.15
196307,26.00
196308,26.45
196309,23.89
196310,19.27
196311,18.37
196312,15.77
196401,11.27
196402,12.39
196403,14.51
196404,15.31
196405,19.07
196406,23.42
196407,25.1
196408,25.47
196409,22.79
196410,20.47
196411,17.07
196412,13.29
196501,11.99
196502,9.91
196503,13.01
196504,14.31
196505,18.27
196506,22.42
196507,27.00
196508,25.15
196509,23.39
196510,20.87
196511,17.57
196512,14.57
196601,12.89
196602,14.51
196603,12.41
196604,16.11
196605,18.27
196606,23.22
196607,25.1
196608,26.25
196609,23.67
196610,21.29
196611,15.57
196612,12.87
196701,11.39
196702,12.31
196703,13.41
196704,15.61
196705,19.27
196706,21.32
196707,25.2
196708,26.92
196709,23.69
196710,21.47
196711,18.27
196712,12.79
196801,11.19
196802,13.11
196803,13.01
196804,16.51
196805,19.97
196806,22.22
196807,25.6
196808,25.95
196809,23.79
196810,19.97
196811,17.57
196812,14.37
196901,12.09
196902,12.51
196903,14.31
196904,15.21
196905,20.17
196906,21.85
196907,23.9
196908,25.55
196909,23.91
196910,20.07
196911,17.99
196912,12.27
197001,13.69
197002,12.71
197003,13.51
197004,15.71
197005,17.57
197006,22.8
197007,24.6
197008,26.45
197009,24.29
197010,19.77
197011,16.97
197012,14.47
197101,12.41
197102,11.81
197103,12.21
197104,16.21
197105,19.07
197106,22.4
197107,25.1
197108,27.22
197109,23.37
197110,18.85
197111,15.57
197112,13.07
197201,12.11
197202,13.11
197203,14.31
197204,14.94
197205,17.77
197206,23.15
197207,24.92
197208,24.95
197209,23.79
197210,19.15
197211,16.97
197212,13.67
197301,11.99
197302,11.11
197303,11.51
197304,14.31
197305,19.87
197306,23.42
197307,26.9
197308,26.02
197309,24.89
197310,21.17
197311,16.17
197312,14.17
197401,12.79
197402,12.41
197403,13.91
197404,15.01
197405,19.07
197406,23.12
197407,24.6
197408,25.45
197409,24.19
197410,18.97
197411,15.67
197412,13.07
197501,11.99
197502,11.61
197503,13.54
197504,15.01
197505,18.77
197506,22.02
197507,25.00
197508,25.35
197509,24.89
197510,20.07
197511,16.27
197512,14.27
197601,11.79
197602,11.81
197603,12.41
197604,14.51
197605,18.39
197606,22.12
197607,25.1
197608,25.15
197609,22.69
197610,20.57
197611,15.27
197612,14.17
197701,13.39
197702,14.19
197703,14.81
197704,15.81
197705,19.27
197706,22.12
197707,25.9
197708,25.45
197709,22.99
197710,20.17
197711,17.57
197712,13.77
197801,11.69
197802,13.59
197803,13.39
197804,15.31
197805,18.57
197806,22.65
197807,24.5
197808,25.55
197809,22.89
197810,18.77
197811,14.97
197812,15.37
197901,13.29
197902,13.61
197903,14.41
197904,14.41
197905,18.37
197906,23.82
197907,25.6
197908,26.15
197909,23.09
197910,21.57
197911,15.37
197912,14.07
198001,11.89
198002,12.41
198003,13.51
198004,13.71
198005,17.57
198006,22.22
198007,24.32
198008,26.15
198009,24.09
198010,20.57
198011,17.97
198012,11.97
198101,10.19
198102,11.21
198103,14.84
198104,16.61
198105,19.37
198106,23.82
198107,24.9
198108,25.67
198109,24.59
198110,22.07
198111,15.47
198112,15.07
198201,13.89
198202,12.11
198203,12.91
198204,15.41
198205,18.77
198206,25.22
198207,27.8
198208,27.35
198209,25.49
198210,21.97
198211,17.27
198212,13.17
198301,11.49
198302,11.41
198303,13.31
198304,16.44
198305,19.47
198306,22.62
198307,26.9
198308,27.07
198309,24.39
198310,20.37
198311,17.77
198312,13.37
198401,12.39
198402,11.51
198403,12.91
198404,15.11
198405,19.57
198406,22.02
198407,25.4
198408,25.97
198409,23.79
198410,20.69
198411,17.97
198412,13.97
198501,11.81
198502,13.71
198503,13.11
198504,16.41
198505,19.49
198506,23.92
198507,26.3
198508,26.05
198509,24.01
198510,20.77
198511,18.57
198512,14.77
198601,12.59
198602,12.81
198603,13.81
198604,16.11
198605,20.07
198606,22.82
198607,25.62
198608,27.45
198609,24.59
198610,21.77
198611,16.67
198612,13.07
198701,11.84
198702,12.91
198703,11.69
198704,15.31
198705,17.45
198706,23.12
198707,27.42
198708,27.75
198709,26.29
198710,23.37
198711,17.27
198712,15.67
198801,14.09
198802,13.09
198803,13.89
198804,16.69
198805,21.3
198806,23.78
198807,27.75
198808,27.25
198809,23.99
198810,22.57
198811,17.07
198812,13.27
198901,11.71
198902,12.44
198903,14.81
198904,16.69
198905,18.72
198906,22.58
198907,25.98
198908,27.05
198909,25.09
198910,20.00
198911,17.22
198912,16.17
199001,12.97
199002,14.51
199003,14.31
199004,16.16
199005,19.47
199006,24.12
199007,25.48
199008,26.12
199009,25.4
199010,22.85
199011,17.87
199012,12.77
199101,12.09
199102,11.91
199103,15.41
199104,14.41
199105,16.47
199106,22.6
199107,25.72
199108,26.67
199109,25.4
199110,22.17
199111,16.97
199112,12.27
199201,11.49
199202,11.27
199203,13.61
199204,15.71
199205,18.47
199206,22.55
199207,24.5
199208,27.27
199209,24.55
199210,22.55
199211,18.15
199212,14.57
199301,11.69
199302,11.01
199303,12.51
199304,15.81
199305,19.85
199306,23.62
199307,25.72
199308,27.25
199309,25.09
199310,22.15
199311,17.77
199312,14.37
199401,13.51
199402,13.37
199403,14.59
199404,15.51
199405,20.72
199406,23.32
199407,26.82
199408,28.82
199409,26.29
199410,21.91
199411,18.57
199412,14.67
199501,11.69
199502,14.19
199503,13.71
199504,15.21
199505,19.77
199506,23.62
199507,26.68
199508,26.75
199509,24.27
199510,20.42
199511,16.87
199512,15.65
199601,13.99
199602,12.11
199603,13.61
199604,15.65
